Ensembl Gene ID	Ensembl Protein ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name
YDR118W	YDR118W	IV	685882	687840	APC4
YEL030W	YEL030W	V	94644	96578	ECM10
YIR034C	YIR034C	IX	419615	420736	LYS1
YKL008C	YKL008C	XI	427295	428551	LAC1
YMR291W	YMR291W	XIII	852630	854390	TDA1
YML011C	YML011C	XIII	246895	247428	RAD33
YPL048W	YPL048W	XVI	464401	465648	CAM1
YIL159W	YIL159W	IX	41825	45952	BNR1
YGL120C	YGL120C	VII	281634	283937	PRP43
YCL048W	YCL048W	III	42165	43556	SPS22
YAR008W	YAR008W	I	158966	159793	SEN34
YER179W	YER179W	V	548421	549517	DMC1
YGL116W	YGL116W	VII	289809	291641	CDC20
YJR047C	YJR047C	X	524908	525381	ANB1
YKL219W	YKL219W	XI	14485	15708	COS9
YPR126C	YPR126C	XVI	789077	789385	
YMR001C	YMR001C	XIII	269019	271136	CDC5
YGL227W	YGL227W	VII	69671	72547	VID30
YLR406C	YLR406C	XII	931065	931755	RPL31B
YDR506C	YDR506C	IV	1459728	1461554	GMC1
YER135C	YER135C	V	437952	438344	
YDR299W	YDR299W	IV	1059627	1061231	BFR2
YOR223W	YOR223W	XV	759782	760660	DSC3
YBR298C	YBR298C	II	802631	804475	MAL31
YLR001C	YLR001C	XII	151389	153977	
YAL003W	YAL003W	I	142174	143160	EFB1
YHR185C	YHR185C	VIII	474627	475340	PFS1
YPL049C	YPL049C	XVI	462481	463839	DIG1
YBR187W	YBR187W	II	602634	603476	GDT1
YBL111C	YBL111C	II	2907	5009	
YKL159C	YKL159C	XI	153816	154451	RCN1
YNL260C	YNL260C	XIV	156859	157455	LTO1
YLR154W-B	YLR154W-B	XII	454392	454556	
YJL210W	YJL210W	X	36919	37734	PEX2
YBL015W	YBL015W	II	194122	195702	ACH1
YAL054C	YAL054C	I	42881	45022	ACS1
YCR097W-A	YCR097W-A	III	294439	294705	
YMR119W	YMR119W	XIII	505333	507207	ASI1
YDL020C	YDL020C	IV	415113	416708	RPN4
YDR174W	YDR174W	IV	812110	812850	HMO1
YBR055C	YBR055C	II	344602	347301	PRP6
YIL018W	YIL018W	IX	316768	317932	RPL2B
YJL105W	YJL105W	X	225055	226737	SET4
YGR040W	YGR040W	VII	575398	576504	KSS1
YJR103W	YJR103W	X	620754	622490	URA8
YLL037W	YLL037W	XII	66562	66942	
YOR191W	YOR191W	XV	692475	697334	ULS1
YOR013W	YOR013W	XV	356751	357221	IRC11
YGL210W	YGL210W	VII	93792	94460	YPT32
YML036W	YML036W	XIII	205642	206293	CGI121
YOL134C	YOL134C	XV	70156	70545	
YFL051C	YFL051C	VI	30058	30540	
YJL205C	YJL205C	X	50139	50443	NCE101
YLR293C	YLR293C	XII	720771	721430	GSP1
YDR413C	YDR413C	IV	1294836	1295411	
YHR031C	YHR031C	VIII	170799	172970	RRM3
YLR149C-A	YLR149C-A	XII	440370	440456	
YJR118C	YJR118C	X	643490	644101	ILM1
YIR040C	YIR040C	IX	433389	433721	
YLR177W	YLR177W	XII	511054	512940	
YMR031W-A	YMR031W-A	XIII	334709	335035	
YBL005W-B	YBL005W-B	II	221330	226598	
YGR279C	YGR279C	VII	1048798	1049958	SCW4
YBR290W	YBR290W	II	782591	783556	BSD2
YGL123W	YGL123W	VII	277617	278381	RPS2
YOL115W	YOL115W	XV	101475	103229	PAP2
YOR231W	YOR231W	XV	772601	774127	MKK1
YMR062C	YMR062C	XIII	395054	396379	ARG7
YPL176C	YPL176C	XVI	216012	218363	TRE1
YJR134C	YJR134C	X	673729	675852	SGM1
YLL051C	YLL051C	XII	37333	39471	FRE6
YDL094C	YDL094C	IV	289572	290081	
YLR119W	YLR119W	XII	385534	386175	SRN2
YIL064W	YIL064W	IX	241943	242716	EFM4
YDR165W	YDR165W	IV	784871	786205	TRM82
YNL142W	YNL142W	XIV	357453	358952	MEP2
YMR222C	YMR222C	XIII	715638	716309	FSH2
YHR144C	YHR144C	VIII	387788	388726	DCD1
YPL198W	YPL198W	XVI	173152	174702	RPL7B
YBR178W	YBR178W	II	586071	586445	
YNL311C	YNL311C	XIV	49397	51688	SKP2
YLR242C	YLR242C	XII	622918	623883	ARV1
YER057C	YER057C	V	270737	271126	HMF1
YML029W	YML029W	XIII	217362	219878	USA1
YCR087C-A	YCR087C-A	III	264006	264467	
YLR337C	YLR337C	XII	802653	805106	VRP1
YAL033W	YAL033W	I	82706	83227	POP5
YNR060W	YNR060W	XIV	739951	742110	FRE4
YLR333C	YLR333C	XII	795573	795899	RPS25B
YGL087C	YGL087C	VII	346406	346904	MMS2
YML037C	YML037C	XIII	204386	205408	
YDL101C	YDL101C	IV	280307	281848	DUN1
YDR195W	YDR195W	IV	848599	850200	REF2
YDR322W	YDR322W	IV	1110589	1111692	MRPL35
YDL102W	YDL102W	IV	276872	280165	POL3
YOR170W	YOR170W	XV	651858	652163	
YGR276C	YGR276C	VII	1043819	1045480	RNH70
YBR126C	YBR126C	II	488905	490392	TPS1
YJL081C	YJL081C	X	283802	285271	ARP4
YLR363W-A	YLR363W-A	XII	853461	853718	
YGR076C	YGR076C	VII	637104	637577	MRPL25
YMR075C-A	YMR075C-A	XIII	415688	416053	
YCR020C-A	YCR020C-A	III	154830	155096	MAK31
YDL141W	YDL141W	IV	203039	205111	BPL1
YNL114C	YNL114C	XIV	412684	413055	
YML010W	YML010W	XIII	247677	250868	SPT5
YDR463W	YDR463W	IV	1386816	1388375	STP1
YHR054C	YHR054C	VIII	213185	214249	
YPL168W	YPL168W	XVI	231217	232509	
YDR328C	YDR328C	IV	1125434	1126018	SKP1
YDR344C	YDR344C	IV	1162006	1162449	
YGR021W	YGR021W	VII	527632	528504	
YPL237W	YPL237W	XVI	100496	101353	SUI3
YKR056W	YKR056W	XI	549448	551367	TRM2
YMR224C	YMR224C	XIII	718575	720653	MRE11
YPR105C	YPR105C	XVI	736984	739569	COG4
YKL030W	YKL030W	XI	382498	383103	
YPL083C	YPL083C	XVI	396702	398105	SEN54
YBL059C-A	YBL059C-A	II	110125	110539	CMC2
YAL016C-A	YAL016C-A	I	124755	125069	
YMR172W	YMR172W	XIII	605981	608140	HOT1
YHR021C	YHR021C	VIII	147871	148669	RPS27B
YGL217C	YGL217C	VII	84839	85180	
YOL140W	YOL140W	XV	58759	60030	ARG8
YGL107C	YGL107C	VII	304333	306273	RMD9
YGR128C	YGR128C	VII	747950	750091	UTP8
YNR020C	YNR020C	XIV	667410	668222	ATP23
YOR206W	YOR206W	XV	727512	729644	NOC2
YPR017C	YPR017C	XVI	593486	593917	DSS4
YDL132W	YDL132W	IV	224304	226751	CDC53
YER137C-A	YER137C-A	V	447702	449024	
YNR039C	YNR039C	XIV	697614	699431	ZRG17
YAL063C	YAL063C	I	24000	27968	FLO9
YFR016C	YFR016C	VI	177042	180743	
YGL193C	YGL193C	VII	141916	142227	
YCR010C	YCR010C	III	132273	133124	ADY2
YDR283C	YDR283C	IV	1025070	1030049	GCN2
YBL071C	YBL071C	II	90223	90531	
YOR354C	YOR354C	XV	1001147	1003225	MSC6
YNL309W	YNL309W	XIV	52662	53924	STB1
YMR143W	YMR143W	XIII	551928	552903	RPS16A
YGR183C	YGR183C	VII	859063	859476	QCR9
YGR179C	YGR179C	VII	853675	854895	OKP1
YGR175C	YGR175C	VII	846933	848423	ERG1
YAR020C	YAR020C	I	176856	177023	PAU7
YKR072C	YKR072C	XI	576435	578123	SIS2
YNL265C	YNL265C	XIV	144280	145281	IST1
YKL211C	YKL211C	XI	36699	38153	TRP3
YMR192W	YMR192W	XIII	647118	649280	GYL1
YLR274W	YLR274W	XII	691555	693882	MCM5
YGL043W	YGL043W	VII	417483	418412	DST1
YPR189W	YPR189W	XVI	912664	916962	SKI3
YDL103C	YDL103C	IV	275148	276581	QRI1
YDL152W	YDL152W	IV	182822	183187	
YNL196C	YNL196C	XIV	270275	271171	SLZ1
YHL003C	YHL003C	VIII	100648	101883	LAG1
YGL135W	YGL135W	VII	254641	255294	RPL1B
YJL155C	YJL155C	X	129285	130643	FBP26
YHR212W-A	YHR212W-A	VIII	538742	538945	
YOL132W	YOL132W	XV	71300	72715	GAS4
YGL082W	YGL082W	VII	355827	356972	
YNR048W	YNR048W	XIV	711630	712811	
YDL134C	YDL134C	IV	219662	220771	PPH21
YHR083W	YHR083W	VIII	272627	273616	SAM35
YLL023C	YLL023C	XII	97997	98836	POM33
YGR204W	YGR204W	VII	905934	908774	ADE3
YLR202C	YLR202C	XII	550194	550636	
YFR005C	YFR005C	VI	154527	155873	SAD1
YBR216C	YBR216C	II	655576	657600	YBP1
YGR265W	YGR265W	VII	1021648	1022058	
YEL020W-A	YEL020W-A	V	117211	117474	TIM9
YEL038W	YEL038W	V	80462	81145	UTR4
YCR035C	YCR035C	III	191834	193018	RRP43
YLR022C	YLR022C	XII	184174	184926	SDO1
YMR026C	YMR026C	XIII	324236	325435	PEX12
YJR016C	YJR016C	X	464451	466208	ILV3
YDR176W	YDR176W	IV	814452	816560	NGG1
YGL004C	YGL004C	VII	490703	491956	RPN14
YDR222W	YDR222W	IV	910054	911301	
YPR162C	YPR162C	XVI	866715	868304	ORC4
YEL076C-A	YEL076C-A	V	4185	5114	
YEL054C	YEL054C	V	52721	53218	RPL12A
YDR020C	YDR020C	IV	485746	486444	DAS2
YKL165C	YKL165C	XI	137932	140691	MCD4
YPR129W	YPR129W	XVI	792687	793736	SCD6
YDL091C	YDL091C	IV	293392	294759	UBX3
YJL154C	YJL154C	X	131101	133935	VPS35
YKL164C	YKL164C	XI	141794	142819	PIR1
YDR220C	YDR220C	IV	907000	907293	
YDR074W	YDR074W	IV	593893	596583	TPS2
YBR240C	YBR240C	II	700490	701842	THI2
YHR086W-A	YHR086W-A	VIII	280231	280392	
YDR251W	YDR251W	IV	960614	963106	PAM1
YOL042W	YOL042W	XV	249825	250916	NGL1
YHR196W	YHR196W	VIII	491931	493658	UTP9
YDR494W	YDR494W	IV	1436930	1438015	RSM28
YGL142C	YGL142C	VII	236269	238119	GPI10
YKL151C	YKL151C	XI	164917	165930	
YLL067C	YLL067C	XII	585	4301	
YPL230W	YPL230W	XVI	115312	116487	USV1
YOR144C	YOR144C	XV	602717	605092	ELG1
YOR046C	YOR046C	XV	414459	415907	DBP5
YLL062C	YLL062C	XII	16639	17613	MHT1
YLR255C	YLR255C	XII	645600	645953	
YBL056W	YBL056W	II	113762	115168	PTC3
YER089C	YER089C	V	335946	337340	PTC2
YDL175C	YDL175C	IV	144484	145518	AIR2
YOR336W	YOR336W	XV	949773	953870	KRE5
YKL100W-A	YKL100W-A	XI	254159	254248	
YML131W	YML131W	XIII	10198	11295	
YNL139C	YNL139C	XIV	360924	365717	THO2
YHR192W	YHR192W	VIII	486826	487662	LNP1
YNL313C	YNL313C	XIV	45308	48022	EMW1
YCR051W	YCR051W	III	214071	214739	
YGR067C	YGR067C	VII	622372	624786	
YHL024W	YHL024W	VIII	56649	58790	RIM4
YJL185C	YJL185C	X	82095	82976	ATG36
YBL012C	YBL012C	II	203406	203807	
YER071C	YER071C	V	301947	302327	TDA2
YOR063W	YOR063W	XV	444686	445849	RPL3
YDR524C-B	YDR524C-B	IV	1489598	1489798	
YDR102C	YDR102C	IV	657648	657980	
YPL076W	YPL076W	XVI	410443	411285	GPI2
YIR002C	YIR002C	IX	357415	360396	MPH1
YMR294W	YMR294W	XIII	856966	858087	JNM1
YER044C-A	YER044C-A	V	238460	239774	MEI4
YIL017C	YIL017C	IX	318200	320965	VID28
YML110C	YML110C	XIII	50031	50954	COQ5
YPR065W	YPR065W	XVI	679693	680799	ROX1
YLR288C	YLR288C	XII	713480	714904	MEC3
YHR213W-B	YHR213W-B	VIII	540800	541099	
YJL093C	YJL093C	X	254737	256812	TOK1
YNR069C	YNR069C	XIV	761123	762592	BSC5
YLR170C	YLR170C	XII	500579	501049	APS1
YCR057C	YCR057C	III	220457	223228	PWP2
YJL160C	YJL160C	X	117962	118825	
YBR287W	YBR287W	II	776571	777854	
Q0050	Q0050	Mito	13818	16322	AI1
YDR356W	YDR356W	IV	1186107	1188941	SPC110
YER077C	YER077C	V	314534	316600	
YDL033C	YDL033C	IV	392659	393912	SLM3
YJR083C	YJR083C	X	582608	583537	ACF4
YDR291W	YDR291W	IV	1039728	1042961	HRQ1
YGR239C	YGR239C	VII	969187	970053	PEX21
YML057C-A	YML057C-A	XIII	160023	160412	
YER031C	YER031C	V	214076	214747	YPT31
YFR057W	YFR057W	VI	269061	269516	
YOR006C	YOR006C	XV	337680	338621	TSR3
YPR204W	YPR204W	XVI	944603	947701	
YNL283C	YNL283C	XIV	105184	106695	WSC2
YGR153W	YGR153W	VII	796092	796745	
YOL032W	YOL032W	XV	265429	266169	OPI10
YLR194C	YLR194C	XII	540809	541573	
YPR158C-C	YPR158C-C	XVI	854935	856257	
YER168C	YER168C	V	521029	522669	CCA1
YML031C-A	YML031C-A	XIII	214086	214421	
YDR079C-A	YDR079C-A	IV	603593	603811	TFB5
YFR032C-A	YFR032C-A	VI	223258	223437	RPL29
YJL151C	YJL151C	X	136372	136773	SNA3
YOR332W	YOR332W	XV	943656	944357	VMA4
YMR181C	YMR181C	XIII	623616	624080	
YOL010W	YOL010W	XV	307938	309041	RCL1
YDL042C	YDL042C	IV	376757	378445	SIR2
YNL109W	YNL109W	XIV	418964	419509	
YKR022C	YKR022C	XI	482171	483139	NTR2
YNL148C	YNL148C	XIV	349907	350671	ALF1
YMR318C	YMR318C	XIII	911061	912143	ADH6
YGL078C	YGL078C	VII	360288	361859	DBP3
YER142C	YER142C	V	455146	456036	MAG1
YIL065C	YIL065C	IX	241308	241775	FIS1
YPL062W	YPL062W	XVI	431895	432299	
YKR074W	YKR074W	XI	579209	579676	AIM29
YNL099C	YNL099C	XIV	438567	439283	OCA1
YKL201C	YKL201C	XI	63930	67466	MNN4
YPR083W	YPR083W	XVI	704854	706593	MDM36
YBL033C	YBL033C	II	158656	159693	RIB1
YDL159W-A	YDL159W-A	IV	172182	172313	
YCL057W	YCL057W	III	24768	26906	PRD1
YHR102W	YHR102W	VIII	316572	319814	KIC1
YDR117C	YDR117C	IV	683946	685643	TMA64
YLR245C	YLR245C	XII	626502	626930	CDD1
YNL198C	YNL198C	XIV	266514	266816	
YLR185W	YLR185W	XII	522663	523288	RPL37A
YGL216W	YGL216W	VII	84885	87302	KIP3
YPL254W	YPL254W	XVI	69485	70951	HFI1
YNL100W	YNL100W	XIV	437613	438317	MIC27
YPL184C	YPL184C	XVI	195950	197788	MRN1
YDR492W	YDR492W	IV	1434924	1435874	IZH1
YER006W	YER006W	V	162723	164285	NUG1
YOL114C	YOL114C	XV	103317	103925	
YNL288W	YNL288W	XIV	90303	91424	CAF40
YGR096W	YGR096W	VII	676621	677565	TPC1
YER132C	YER132C	V	425188	430449	PMD1
YJL008C	YJL008C	X	419957	421663	CCT8
YHR202W	YHR202W	VIII	502388	504196	
YJR041C	YJR041C	X	510239	513763	URB2
YHR094C	YHR094C	VIII	290913	292625	HXT1
YKR045C	YKR045C	XI	523418	523969	
YPR140W	YPR140W	XVI	814391	815536	TAZ1
YPR029C	YPR029C	XVI	624469	626967	APL4
YNL318C	YNL318C	XIV	38707	40329	HXT14
YDR276C	YDR276C	IV	1013476	1013643	PMP3
YHR165C	YHR165C	VIII	429707	436948	PRP8
YLL014W	YLL014W	XII	121322	121648	EMC6
YOR272W	YOR272W	XV	832813	834195	YTM1
YLL056C	YLL056C	XII	27409	28305	
YOL040C	YOL040C	XV	253149	253577	RPS15
YGR143W	YGR143W	VII	775193	777508	SKN1
YPL165C	YPL165C	XVI	237956	239077	SET6
YNR026C	YNR026C	XIV	673274	674689	SEC12
YLR120W-A	YLR120W-A	XII	388672	388773	
YOR203W	YOR203W	XV	722565	722918	
YBL013W	YBL013W	II	202056	203261	FMT1
YER038W-A	YER038W-A	V	228451	228831	
YMR013W-A	YMR013W-A	XIII	298311	298391	
YOR302W	YOR302W	XV	882765	882842	
YGR122W	YGR122W	VII	733935	735143	
YLR076C	YLR076C	XII	283185	283607	
YGR221C	YGR221C	VII	937124	938992	TOS2
YLL018C	YLL018C	XII	109902	111575	DPS1
YDR275W	YDR275W	IV	1012252	1012959	BSC2
YDR295C	YDR295C	IV	1052623	1054647	HDA2
YHR140W	YHR140W	VIII	380572	381291	
YKL127W	YKL127W	XI	203541	205253	PGM1
YJL131C	YJL131C	X	164278	165348	AIM23
YOR241W	YOR241W	XV	786995	788641	MET7
YDR382W	YDR382W	IV	1239492	1239824	RPP2B
YDR495C	YDR495C	IV	1438115	1441150	VPS3
YOL129W	YOL129W	XV	77560	78114	VPS68
YNL102W	YNL102W	XIV	430087	434493	POL1
YML014W	YML014W	XIII	243225	244064	TRM9
YDR237W	YDR237W	IV	936615	937493	MRPL7
YOR343W-A	YOR343W-A	XV	970578	971894	
YKR009C	YKR009C	XI	454352	457054	FOX2
YGL006W-A	YGL006W-A	VII	485423	485533	
YJR129C	YJR129C	X	664000	665019	EFM3
YPR039W	YPR039W	XVI	647012	647347	
YPR024W	YPR024W	XVI	610481	612724	YME1
YOR289W	YOR289W	XV	853357	854112	
YLR259C	YLR259C	XII	663284	665002	HSP60
YIL102C	YIL102C	IX	174582	174887	
YOR229W	YOR229W	XV	768409	769812	WTM2
YKR049C	YKR049C	XI	526830	527231	FMP46
YKL073W	YKL073W	XI	296430	299075	LHS1
YDR496C	YDR496C	IV	1441433	1443403	PUF6
YBL070C	YBL070C	II	90605	90925	
YPL042C	YPL042C	XVI	473040	474707	SSN3
YJL133W	YJL133W	X	160619	161563	MRS3
YOL077W-A	YOL077W-A	XV	185438	185644	ATP19
YCL040W	YCL040W	III	50838	52340	GLK1
YPL145C	YPL145C	XVI	278395	279699	KES1
YDL146W	YDL146W	IV	192750	194225	LDB17
YDR100W	YDR100W	IV	655013	655444	TVP15
YJR004C	YJR004C	X	442909	444861	SAG1
YBR186W	YBR186W	II	600553	602360	PCH2
YKL137W	YKL137W	XI	185957	186292	CMC1
Q0160	Q0160	Mito	61022	61729	SCEI
YDR098C-A	YDR098C-A	IV	649804	651126	
YFR041C	YFR041C	VI	237368	238255	ERJ5
YLR133W	YLR133W	XII	408445	410193	CKI1
YKL006C-A	YKL006C-A	XI	430198	430632	SFT1
YPR192W	YPR192W	XVI	921860	922777	AQY1
YMR189W	YMR189W	XIII	637500	640604	GCV2
YOR137C	YOR137C	XV	581813	583681	SIA1
YNL215W	YNL215W	XIV	244468	245430	IES2
YDL105W	YDL105W	IV	272389	273597	NSE4
YOR161W-A	YOR161W-A	XV	637574	637654	
YDR111C	YDR111C	IV	678241	679764	ALT2
YCL029C	YCL029C	III	68599	69921	BIK1
YDR172W	YDR172W	IV	808324	810381	SUP35
YPL064C	YPL064C	XVI	428711	429616	CWC27
YML054C-A	YML054C-A	XIII	167623	167781	
YNL085W	YNL085W	XIV	467131	469623	MKT1
YAL031W-A	YAL031W-A	I	84669	84977	
YDL230W	YDL230W	IV	42700	43707	PTP1
YFR025C	YFR025C	VI	203743	204750	HIS2
YHR093W	YHR093W	VIII	289142	289690	AHT1
YOR050C	YOR050C	XV	424270	424617	
YNL264C	YNL264C	XIV	145563	146615	PDR17
YGL051W	YGL051W	VII	403687	404391	MST27
YBL038W	YBL038W	II	146187	146885	MRPL16
YHR148W	YHR148W	VIII	393534	394085	IMP3
YPL166W	YPL166W	XVI	237338	237979	ATG29
YIL165C	YIL165C	IX	33718	34077	
YJL005W	YJL005W	X	425157	431237	CYR1
YDR103W	YDR103W	IV	658350	661103	STE5
YNL130C-A	YNL130C-A	XIV	381245	381391	DGR1
YAR050W	YAR050W	I	203403	208016	FLO1
YPL026C	YPL026C	XVI	500675	502183	SKS1
YJR006W	YJR006W	X	449202	450665	POL31
YLR044C	YLR044C	XII	232390	234081	PDC1
YJL115W	YJL115W	X	196287	197126	ASF1
YLR262C	YLR262C	XII	668244	668891	YPT6
YDR386W	YDR386W	IV	1246084	1247982	MUS81
YJL099W	YJL099W	X	239414	241654	CHS6
YLR422W	YLR422W	XII	965897	971695	
YJR154W	YJR154W	X	725784	726824	
YNL333W	YNL333W	XIV	13267	14163	SNZ2
YFR010W	YFR010W	VI	165067	166566	UBP6
YJL161W	YJL161W	X	117245	117787	FMP33
YJR097W	YJR097W	X	612413	612931	JJJ3
YIR021W	YIR021W	IX	397294	398385	MRS1
YJR046W	YJR046W	X	522048	523862	TAH11
YPR103W	YPR103W	XVI	732349	733212	PRE2
YBL088C	YBL088C	II	51019	59382	TEL1
YJR122W	YJR122W	X	649776	651269	IBA57
YOR390W	YOR390W	XV	1076784	1077911	FEX1
YML105C	YML105C	XIII	57866	58687	SEC65
YCR047W-A	YCR047W-A	III	211301	211507	
YDL245C	YDL245C	IV	11657	13360	HXT15
YEL049W	YEL049W	V	63728	64090	PAU2
YKL035W	YKL035W	XI	369891	371390	UGP1
YMR056C	YMR056C	XIII	387315	388244	AAC1
YDR141C	YDR141C	IV	734901	739997	DOP1
YGL171W	YGL171W	VII	182390	184084	ROK1
YLR115W	YLR115W	XII	377985	380564	CFT2
YOR373W	YOR373W	XV	1036834	1039389	NUD1
YOL096C	YOL096C	XV	138107	139045	COQ3
YGR249W	YGR249W	VII	988049	989419	MGA1
YLR235C	YLR235C	XII	611532	611930	
YAR035W	YAR035W	I	190193	192256	YAT1
YGR198W	YGR198W	VII	894693	897146	YPP1
YBR081C	YBR081C	II	401253	405251	SPT7
YJR026W	YJR026W	X	472760	474082	
YNR022C	YNR022C	XIV	669774	670193	MRPL50
YPL167C	YPL167C	XVI	232593	237107	REV3
YDR034C	YDR034C	IV	509737	512109	LYS14
YBR033W	YBR033W	II	301944	304703	EDS1
YGR291C	YGR291C	VII	1076283	1076504	
YPL186C	YPL186C	XVI	194512	195426	UIP4
YBL084C	YBL084C	II	67169	69445	CDC27
YOR352W	YOR352W	XV	997213	998244	TFB6
YDL030W	YDL030W	IV	397537	399129	PRP9
YLR406C-A	YLR406C-A	XII	932206	932355	
YAL013W	YAL013W	I	129270	130487	DEP1
YLR294C	YLR294C	XII	721701	722030	
YBR012C	YBR012C	II	259147	259566	
YJL031C	YJL031C	X	386368	387438	BET4
YKR084C	YKR084C	XI	597055	598890	HBS1
YDL104C	YDL104C	IV	273653	274876	QRI7
YHR175W	YHR175W	VIII	452872	453441	CTR2
YGR174W-A	YGR174W-A	VII	846655	846741	
YBL008W-A	YBL008W-A	II	209409	209648	
YBR002C	YBR002C	II	241708	242568	RER2
YBR246W	YBR246W	II	711591	712754	RRT2
YDR119W-A	YDR119W-A	IV	691014	691214	COX26
YHR121W	YHR121W	VIII	352756	353319	LSM12
YEL017W	YEL017W	V	123657	124670	GTT3
YDL067C	YDL067C	IV	334217	334396	COX9
YKL180W	YKL180W	XI	109269	110129	RPL17A
YGR037C	YGR037C	VII	559731	559994	ACB1
YML123C	YML123C	XIII	24037	25800	PHO84
YDR280W	YDR280W	IV	1020747	1021664	RRP45
YBR191W	YBR191W	II	606270	607140	RPL21A
YGL083W	YGL083W	VII	353058	355472	SCY1
YML133W-B	YML133W-B	XIII	827	1309	
YMR229C	YMR229C	XIII	725934	731123	RRP5
YAL068C	YAL068C	I	1807	2169	PAU8
YAL060W	YAL060W	I	35155	36303	BDH1
YCL036W	YCL036W	III	59026	60726	GFD2
YIL156W	YIL156W	IX	48091	51306	UBP7
YPL046C	YPL046C	XVI	466644	466943	ELC1
YDL206W	YDL206W	IV	90176	92464	
YCR019W	YCR019W	III	152837	153928	MAK32
YGR025W	YGR025W	VII	532639	532941	
YIL072W	YIL072W	IX	226602	228419	HOP1
Q0060	Q0060	Mito	13818	19996	AI3
YDL122W	YDL122W	IV	242552	244981	UBP1
YPL136W	YPL136W	XVI	296286	296654	
YBR218C	YBR218C	II	658707	662249	PYC2
YJL207C	YJL207C	X	41389	47433	LAA1
YBL069W	YBL069W	II	90741	92030	AST1
YOR361C	YOR361C	XV	1015361	1017652	PRT1
YGR050C	YGR050C	VII	592086	592442	
YKR029C	YKR029C	XI	497578	499833	SET3
YML031W	YML031W	XIII	214189	216156	NDC1
YNR014W	YNR014W	XIV	652465	653103	
YBL035C	YBL035C	II	151493	153610	POL12
YBR166C	YBR166C	II	569842	571200	TYR1
YHR087W	YHR087W	VIII	280820	281155	RTC3
YDR151C	YDR151C	IV	764178	765155	CTH1
YGL026C	YGL026C	VII	446412	448535	TRP5
YDR271C	YDR271C	IV	1008395	1008766	
YDR433W	YDR433W	IV	1329600	1330040	
YER047C	YER047C	V	243810	246503	SAP1
YEL050C	YEL050C	V	59670	60851	RML2
YKL136W	YKL136W	XI	186416	186814	
YGL036W	YGL036W	VII	428601	431330	
YIL093C	YIL093C	IX	187990	188784	RSM25
YDL087C	YDL087C	IV	300214	300999	LUC7
YPL135W	YPL135W	XVI	297553	298050	ISU1
YOR326W	YOR326W	XV	925721	930445	MYO2
YNL195C	YNL195C	XIV	271523	272308	
YBR143C	YBR143C	II	530869	532182	SUP45
YDR374W-A	YDR374W-A	IV	1224757	1225026	WIP1
YNR068C	YNR068C	XIV	760067	760885	
YJR064W	YJR064W	X	555914	557602	CCT5
YPL074W	YPL074W	XVI	415763	418027	YTA6
YLR426W	YLR426W	XII	987062	988113	TDA5
YGR035W-A	YGR035W-A	VII	557565	557786	
YOR276W	YOR276W	XV	841333	841818	CAF20
YCL058C	YCL058C	III	23523	23981	FYV5
YGR261C	YGR261C	VII	1014321	1016750	APL6
YBL102W	YBL102W	II	24098	24745	SFT2
YGR049W	YGR049W	VII	591314	591877	SCM4
YLR335W	YLR335W	XII	797430	799592	NUP2
YGL053W	YGL053W	VII	402589	403302	PRM8
YHR156C	YHR156C	VIII	411384	412406	LIN1
YIR012W	YIR012W	IX	378486	379781	SQT1
YDR129C	YDR129C	IV	713340	715379	SAC6
YLL026W	YLL026W	XII	88623	91349	HSP104
YLR056W	YLR056W	XII	253861	254958	ERG3
YMR283C	YMR283C	XIII	835326	836867	RIT1
YML133C	YML133C	XIII	461	4684	
YER083C	YER083C	V	326174	327031	GET2
YGL132W	YGL132W	VII	261580	261915	
YLR110C	YLR110C	XII	369697	370098	CCW12
YGR099W	YGR099W	VII	687899	689965	TEL2
YBR137W	YBR137W	II	513044	513583	
YJR062C	YJR062C	X	553476	554849	NTA1
YNL094W	YNL094W	XIV	447611	449374	APP1
YNL281W	YNL281W	XIV	108467	108928	HCH1
YHR022C	YHR022C	VIII	149575	150345	
YAR033W	YAR033W	I	188107	188811	MST28
YDR320W-B	YDR320W-B	IV	1108484	1108621	
YFL020C	YFL020C	VI	99231	99599	PAU5
YCL001W-A	YCL001W-A	III	113080	113541	
YHR001W-A	YHR001W-A	VIII	107826	108122	QCR10
YGR010W	YGR010W	VII	511545	512732	NMA2
YDL098C	YDL098C	IV	284581	285165	SNU23
YMR150C	YMR150C	XIII	561956	562528	IMP1
YLR282C	YLR282C	XII	705071	705412	
YGL024W	YGL024W	VII	449788	450123	
YBR057C	YBR057C	II	352193	353293	MUM2
YOR153W	YOR153W	XV	619840	624375	PDR5
YPL032C	YPL032C	XVI	488887	491364	SVL3
YLR034C	YLR034C	XII	210512	211933	SMF3
YGR157W	YGR157W	VII	802440	805049	CHO2
YOR277C	YOR277C	XV	841515	841823	
YCL047C	YCL047C	III	43661	44437	POF1
YBR284W	YBR284W	II	771239	773632	
YBL027W	YBL027W	II	168423	169376	RPL19B
YMR018W	YMR018W	XIII	310208	311752	
YNL213C	YNL213C	XIV	246460	247104	RRG9
YGR238C	YGR238C	VII	966039	968687	KEL2
YGR125W	YGR125W	VII	742325	745435	
YML100W-A	YML100W-A	XIII	70138	70311	
YKL130C	YKL130C	XI	195288	196028	SHE2
YDR536W	YDR536W	IV	1508005	1509714	STL1
